Código Barrio;Barrio;Código Localidad;Estado
1203;CARACAS;15;1
1202;CIUDAD BERNA;15;1
1204;CIUDAD JARDIN SUR;15;1
2301;EDUARDO FREI;15;1
2107;LA FRAGUA;15;1
2101;LA FRAGUITA;15;1
1208;LA HORTUA;15;1
1211;POLICARPA;15;1
2103;RESTREPO;15;1
2104;RESTREPO OCCIDENTAL;15;1
2102;SAN ANTONIO;15;1
2105;SANTANDER;15;1
2302;SANTANDER SUR;15;1
2106;SENA;15;1
1201;SEVILLA;15;1
2309;VILLA MAYOR ORIENTAL;15;1
7302;ALCAZARES;12;1
7404;ALCAZARES NORTE;12;1
7306;BAQUERO;12;1
7309;BENJAMIN HERRERA;12;1
7303;COLOMBIA;12;1
7304;CONCEPCION NORTE;12;1
5202;DOCE DE OCTUBRE;12;1
5104;EL ROSARIO;12;1
5306;ENTRERIOS;12;1
5310;ESCUELA MILITAR;12;1
5201;JORGE ELIECER GAITAN;12;1
5101;JOSE JOAQUIN VARGAS;12;1
7402;JUAN XXIII;12;1
7407;LA AURORA;12;1
5304;LA CASTELLANA;12;1
7305;LA ESPERANZA;12;1
5206;LA LIBERTAD;12;1
7301;LA MERCED NORTE;12;1
5305;LA PATRIA;12;1
7310;LA PAZ;12;1
5307;LOS ANDES;12;1
5207;METROPOLIS;12;1
7307;MUEQUETA;12;1
7405;ONCE DE NOVIEMBRE;12;1
5112;PARQUE  EL SALITRE.;12;1
5115;PARQUE POPULAR SALITRE;12;1
7401;POLO CLUB;12;1
5102;POPULAR MODELO;12;1
7308;QUINTA MUTIS;12;1
7312;RAFAEL URIBE;12;1
5308;RIONEGRO;12;1
7403;SAN FELIPE;12;1
5203;SAN FERNANDO;12;1
5204;SAN FERNANDO OCCIDENTAL;12;1
5103;SAN MIGUEL;12;1
7406;SANTA SOFIA;12;1
7311;SIETE DE AGOSTO;12;1
5205;SIMON BOLIVAR;12;1
4553;ANDALUCIA II;7;1
4570;ANTONIA SANTOS;7;1
150224;BETANIA;7;1
4522;BOSA;7;1
4526;BOSA NOVA;7;1
4580;BOSANOVA;7;1
4519;BRASIL;7;1
150214;BRASIL;7;1
44444;BRASILIA;7;1
150308;CANAVERALEJO;7;1
4574;CHARLES DE GAULLE;7;1
55555;CHICALA;7;1
150315;CHICO SUR;7;1
150314;EL CORZO;7;1
11116;EL PORVENIR;7;1
150320;EL REMANSO;7;1
4533;EL RETAZO;7;1
150303;ESCOCIA;7;1
4521;ESTACION BOSA;7;1
4557;GRAN BRITALIA;7;1
4559;GRAN BRITALIA;7;1
4539;GRAN COLOMBIANO;7;1
4552;GUALOCHE;7;1
150304;ISLANDIA;7;1
4529;JARDIN DEL APOGEO;7;1
4523;JIMENEZ DE QUESADA;7;1
4568;JORGE URIBE BOTERO;7;1
4569;JOSE ANTONIO GALAN;7;1
4550;JOSE MARIA CARBONELL;7;1
150309;LA CABANA;7;1
150306;LA INDEPENDENCIA;7;1
150307;LA LIBERTAD;7;1
4520;LA PAZ BOSA;7;1
150327;LAS MARGARITAS;7;1
4575;LOS LAURELES;7;1
4527;NUEVA GRANADA;7;1
4538;OLARTE;7;1
150210;OSORIO DIEZ;7;1
150223;OSORIO XXIII;7;1
150222;PARCELA EL PORVENIR;7;1
4528;PASO ANCHO;7;1
150301;SAN ANTONIO;7;1
150313;SAN BERNARDINO;7;1
150317;SAN BERNARDINO DIECISIETE;7;1
150319;SAN BERNARDINO XIX;7;1
150318;SAN BERNARDINO XVIII;7;1
150321;SAN JOSE;7;1
4524;SAN PABLO;7;1
150380;SAN PEDRO;7;1
150302;SANTA FE DE BOSA;7;1
4546;VILLA DEL RIO;7;1
150310;VILLAS DEL PROGRESO;7;1
3204;BELEN;17;1
3106;CENTRO ADMINISTRATIVO;17;1
3105;EGIPTO;17;1
3110;LA CATEDRAL;17;1
3104;LA CONCORDIA;17;1
3103;LAS AGUAS;17;1
3203;SANTA BARBARA;17;1
8314;ANTIGUO COUNTRY;2;1
8305;BELLAVISTA;2;1
8207;BOSQUE CALDERON;2;1
8111;CATALUNA;2;1
8213;CHAPINERO CENTRAL;2;1
8214;CHAPINERO NORTE;2;1
8308;CHICO;2;1
8307;CHICO NORTE;2;1
8301;CHICO NORTE II;2;1
8315;CHICO NORTE III;2;1
8312;EL ESPARTILLAL;2;1
8311;EL NOGAL;2;1
8210;EL PARAISO;2;1
8303;EL REFUGIO;2;1
8310;EL RETIRO;2;1
8302;EL SEMINARIO;2;1
8202;EMAUS;2;1
8204;GRANADA;2;1
8215;INGEMAR;2;1
8309;LA CABRERA;2;1
8306;LA PORCIUNCULA;2;1
8206;LA SALLE;2;1
8313;LAGO GAITAN;2;1
8203;LAS ACACIAS;2;1
8304;LOS ROSALES;2;1
8205;MARIA CRISTINA;2;1
8212;MARLY;2;1
8208;PARDO RUBIO;2;1
8201;QUINTA CAMACHO;2;1
101502;SAN MARTIN;2;1
101503;SANTA ANA;2;1
8112;SUCRE;2;1
108403;VIA A LA CALERA;2;1
108404;VIA A LA CALERA;2;1
2432;ARBORIZADORA BAJA;19;1
2422;ATLANTA;19;1
2417;BARLOVENTO;19;1
140104;BELLA FLOR;19;1
140107;BELLA FLOR SUR;19;1
2436;BELLAVISTA;19;1
2560;BELLAVISTA LUCERO ALTO;19;1
2430;BRISAS;19;1
2531;CANDELARIA LA NUEVA;19;1
2534;CASA DE TEJA;19;1
140110;CASALOMA;19;1
