id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,apiSolicitudesApp,apoderado_solicitud
8,apiSolicitudesApp,centro_conciliacion
9,apiSolicitudesApp,ciudad
10,apiSolicitudesApp,estado_solicitud
11,apiSolicitudesApp,estrato_socioeconomico
12,apiSolicitudesApp,genero
13,apiSolicitudesApp,pais
14,apiSolicitudesApp,persona_solicitud
15,apiSolicitudesApp,sexo
16,apiSolicitudesApp,tipo_cliente
17,apiSolicitudesApp,tipo_documento
18,apiSolicitudesApp,tipo_persona
19,apiSolicitudesApp,solicitud
20,apiSolicitudesApp,relacion_persona_solicitud
21,apiSolicitudesApp,hechos_solicitud
22,apiSolicitudesApp,documento_solicitud
23,apiSolicitudesApp,departamento
24,apiSolicitudesApp,codigo
25,rest_framework_api_key,apikey
26,apiExpedientesApp,authgroup
27,apiExpedientesApp,authgrouppermissions
28,apiExpedientesApp,authpermission
29,apiExpedientesApp,authuser
30,apiExpedientesApp,authusergroups
31,apiExpedientesApp,authuseruserpermissions
32,apiExpedientesApp,centro_conciliacion
33,apiExpedientesApp,codigo
34,apiExpedientesApp,departamento
35,apiExpedientesApp,djangoadminlog
36,apiExpedientesApp,djangocontenttype
37,apiExpedientesApp,djangomigrations
38,apiExpedientesApp,djangosession
39,apiExpedientesApp,estado_solicitud
40,apiExpedientesApp,pais
41,apiExpedientesApp,tipo_reporte
42,apiExpedientesApp,grupo_etnico
43,apiExpedientesApp,tipo_discapacidad
44,apiExpedientesApp,escolaridad
45,apiExpedientesApp,tipo_medio
46,apiExpedientesApp,estrato_socioeconomico
47,apiExpedientesApp,localidad
48,apiExpedientesApp,hechos
49,apiExpedientesApp,respuesta_seguimiento
50,apiExpedientesApp,objetivo_servicio
51,apiExpedientesApp,tipo_cargo
52,apiExpedientesApp,barrio
53,apiExpedientesApp,inicio_conflicto
54,apiExpedientesApp,subtema
55,apiExpedientesApp,area
56,apiExpedientesApp,medio_seguimiento
57,apiExpedientesApp,genero
58,apiExpedientesApp,historico
59,apiExpedientesApp,respuesta_encuesta
60,apiExpedientesApp,seguimiento
61,apiExpedientesApp,tipo_documento
62,apiExpedientesApp,tipo_servicio
63,apiExpedientesApp,perfil
64,apiExpedientesApp,relacion_persona_citacion
65,apiExpedientesApp,categoria_resultado
66,apiExpedientesApp,persona
67,apiExpedientesApp,tipo_resultado
68,apiExpedientesApp,tema
69,apiExpedientesApp,encuesta
70,apiExpedientesApp,citacion
71,apiExpedientesApp,solicitante_servicio
72,apiExpedientesApp,turno
73,apiExpedientesApp,estado_civil
74,apiExpedientesApp,resultado
75,apiExpedientesApp,ciudad
76,apiExpedientesApp,tipo_vivienda
77,apiExpedientesApp,pregunta_seguimiento
78,apiExpedientesApp,tipo_persona
79,apiExpedientesApp,expediente
80,apiExpedientesApp,tipo_cliente
81,apiExpedientesApp,pregunta_encuesta
82,apiExpedientesApp,sexo
83,apiExpedientesApp,relacion_persona_expediente
84,apiExpedientesApp,apoderado
85,apiExpedientesApp,medio_conocimiento
86,apiExpedientesApp,estado_expediente
87,apiExpedientesApp,finalidad_servicio
