id,app,name,applied
1,contenttypes,0001_initial,2023-01-30 14:21:27.624707+00
2,auth,0001_initial,2023-01-30 14:21:27.687177+00
3,admin,0001_initial,2023-01-30 14:21:27.7028+00
4,admin,0002_logentry_remove_auto_add,2023-01-30 14:21:27.705224+00
5,admin,0003_logentry_add_action_flag_choices,2023-01-30 14:21:27.705224+00
6,apiSolicitudesApp,0001_initial,2023-01-30 14:21:27.861506+00
7,apiSolicitudesApp,0002_alter_documento_solicitud_documento,2023-01-30 14:21:27.861506+00
8,contenttypes,0002_remove_content_type_name,2023-01-30 14:21:27.877128+00
9,auth,0002_alter_permission_name_max_length,2023-01-30 14:21:27.892753+00
10,auth,0003_alter_user_email_max_length,2023-01-30 14:21:27.892753+00
11,auth,0004_alter_user_username_opts,2023-01-30 14:21:27.90838+00
12,auth,0005_alter_user_last_login_null,2023-01-30 14:21:27.90838+00
13,auth,0006_require_contenttypes_0002,2023-01-30 14:21:27.90838+00
14,auth,0007_alter_validators_add_error_messages,2023-01-30 14:21:27.90838+00
15,auth,0008_alter_user_username_max_length,2023-01-30 14:21:27.924008+00
16,auth,0009_alter_user_last_name_max_length,2023-01-30 14:21:27.924008+00
17,auth,0010_alter_group_name_max_length,2023-01-30 14:21:27.939634+00
18,auth,0011_update_proxy_permissions,2023-01-30 14:21:27.939634+00
19,auth,0012_alter_user_first_name_max_length,2023-01-30 14:21:27.955259+00
20,rest_framework_api_key,0001_initial,2023-01-30 14:21:27.955259+00
21,rest_framework_api_key,0002_auto_20190529_2243,2023-01-30 14:21:27.970893+00
22,rest_framework_api_key,0003_auto_20190623_1952,2023-01-30 14:21:27.970893+00
23,rest_framework_api_key,0004_prefix_hashed_key,2023-01-30 14:21:27.986476+00
24,rest_framework_api_key,0005_auto_20220110_1102,2023-01-30 14:21:27.986476+00
25,sessions,0001_initial,2023-01-30 14:21:28.002129+00
26,apiExpedientesApp,0001_initial,2023-01-30 14:26:05.269545+00
27,apiExpedientesApp,0002_alter_tema_nombre,2023-01-30 15:23:03.457771+00
28,apiSolicitudesApp,0002_alter_ciudad_nombre,2023-01-30 15:32:55.61854+00
29,apiExpedientesApp,0003_alter_pregunta_encuesta_nombre,2023-01-30 15:38:30.821726+00
30,apiExpedientesApp,0004_alter_subtema_nombre,2023-01-31 15:22:15.392293+00
31,apiExpedientesApp,0005_alter_subtema_nombre,2023-01-31 15:25:32.563062+00
32,apiSolicitudesApp,0003_alter_documento_solicitud_nombre,2023-02-06 12:26:14.675018+00
