id,app,name,applied
1,apiSolicitudesApp,0001_initial,2022-11-28 14:24:56.091307
2,contenttypes,0001_initial,2022-11-28 14:25:22.627495
3,auth,0001_initial,2022-11-28 14:25:22.872630
4,admin,0001_initial,2022-11-28 14:25:22.937781
5,admin,0002_logentry_remove_auto_add,2022-11-28 14:25:22.937781
6,admin,0003_logentry_add_action_flag_choices,2022-11-28 14:25:22.947847
7,contenttypes,0002_remove_content_type_name,2022-11-28 14:25:22.997288
8,auth,0002_alter_permission_name_max_length,2022-11-28 14:25:23.027487
9,auth,0003_alter_user_email_max_length,2022-11-28 14:25:23.047842
10,auth,0004_alter_user_username_opts,2022-11-28 14:25:23.047842
11,auth,0005_alter_user_last_login_null,2022-11-28 14:25:23.077719
12,auth,0006_require_contenttypes_0002,2022-11-28 14:25:23.077719
13,auth,0007_alter_validators_add_error_messages,2022-11-28 14:25:23.087572
14,auth,0008_alter_user_username_max_length,2022-11-28 14:25:23.117420
15,auth,0009_alter_user_last_name_max_length,2022-11-28 14:25:23.147540
16,auth,0010_alter_group_name_max_length,2022-11-28 14:25:23.167742
17,auth,0011_update_proxy_permissions,2022-11-28 14:25:23.177602
18,auth,0012_alter_user_first_name_max_length,2022-11-28 14:25:23.207562
19,sessions,0001_initial,2022-11-28 14:25:23.227820
20,apiExpedientesApp,0001_initial,2022-11-28 14:25:51.614053
21,rest_framework_api_key,0001_initial,2022-11-28 14:25:51.645382
22,rest_framework_api_key,0002_auto_20190529_2243,2022-11-28 14:25:51.661008
23,rest_framework_api_key,0003_auto_20190623_1952,2022-11-28 14:25:51.661008
24,rest_framework_api_key,0004_prefix_hashed_key,2022-11-28 14:25:51.761331
25,rest_framework_api_key,0005_auto_20220110_1102,2022-11-28 14:25:51.776940
26,apiExpedientesApp,0002_alter_tipo_discapacidad_table,2022-11-28 14:26:42.946386
27,apiExpedientesApp,0003_alter_estado_options_alter_apoderado_table_and_more,2022-11-28 14:34:39.127032
28,apiSolicitudesApp,0002_solicitud_comentario,2022-11-28 15:11:11.524885
29,apiExpedientesApp,0002_rename_estado_estado_expediente_and_more,2022-11-29 15:33:32.245899
30,apiExpedientesApp,0003_alter_expediente_numero_radicado,2022-11-29 15:45:52.846557
31,apiExpedientesApp,0004_alter_expediente_numero_caso,2022-11-29 16:20:36.130229
32,apiExpedientesApp,0005_alter_expediente_numero_caso_and_more,2022-11-29 16:50:27.680466
33,apiExpedientesApp,0006_remove_relacion_persona_expediente_nombre,2022-11-29 16:59:02.468117
34,apiExpedientesApp,0007_alter_relacion_persona_expediente_options_and_more,2022-12-02 16:44:21.425607
35,apiExpedientesApp,0008_rename_turnos_id_citacion_turno_id,2022-12-02 18:49:58.959406
36,apiExpedientesApp,0009_finalidad_servicio_expediente_finalidad_servicio_id,2022-12-02 19:00:30.464624
37,apiExpedientesApp,0010_resultado_consecutivo,2022-12-06 21:16:42.519752
38,apiExpedientesApp,0011_remove_tipo_resultado_consecutivo_actual,2022-12-06 21:24:50.139371
39,apiExpedientesApp,0012_consecutivo_resultado,2022-12-06 21:47:45.110889
40,apiExpedientesApp,0013_rename_consecutivo_resultado_categoria_resultado_and_more,2022-12-06 23:41:09.539023
41,apiExpedientesApp,0002_expediente_identificador_sicaac,2022-12-07 16:46:43.533887
42,apiExpedientesApp,0003_remove_encuesta_persona_id_encuesta_observacion,2022-12-07 17:55:54.035876
43,apiExpedientesApp,0004_alter_expediente_identificador_sicaac,2022-12-07 20:29:47.579521
44,apiExpedientesApp,0005_seguimiento_recomendacion_al_usuario,2022-12-09 14:46:48.790192
45,apiExpedientesApp,0006_alter_seguimiento_fecha,2022-12-09 16:05:26.947513
46,apiExpedientesApp,0007_respuesta_seguimiento_estado,2022-12-09 16:15:04.462291
