Id;Nombre;Id_departamento;Status
1;Medellin;1;1
2;Abejorral;1;1
3;Abriaqui;1;1
4;Alejandria;1;1
5;Amaga;1;1
6;Amalfi;1;1
7;Andes;1;1
8;Angelopolis;1;1
9;Angostura;1;1
10;Anori;1;1
11;Antioquia;1;1
12;Anza;1;1
13;Apartado;1;1
14;Arboletes;1;1
15;Argelia;1;1
16;Armenia;1;1
17;Barbosa;1;1
18;Belmira;1;1
19;Bello;1;1
20;Betania;1;1
21;Betulia;1;1
22;Bolivar;1;1
23;Briceño;1;1
24;Buritica;1;1
25;Caceres;1;1
26;Caicedo;1;1
27;Caldas;1;1
28;Campamento;1;1
29;Cañasgordas;1;1
30;Caracoli;1;1
31;Caramanta;1;1
32;Carepa;1;1
33;Carmen De Viboral;1;1
34;Carolina;1;1
35;Caucasia;1;1
36;Chigorodo;1;1
37;Cisneros;1;1
38;Cocorna;1;1
39;Concepcion;1;1
40;Concordia;1;1
41;Copacabana;1;1
42;Dabeiba;1;1
43;Don Matias;1;1
44;Ebejico;1;1
45;El Bagre;1;1
46;Entrerrios;1;1
47;Envigado;1;1
48;Fredonia;1;1
49;Frontino;1;1
50;Giraldo;1;1
51;Girardota;1;1
52;Gomez Plata;1;1
53;Granada;1;1
54;Guadalupe;1;1
55;Guarne;1;1
56;Guatape;1;1
57;Heliconia;1;1
58;Hispania;1;1
59;Itagui;1;1
60;Ituango;1;1
61;Jardin;1;1
62;Jerico;1;1
63;La Ceja;1;1
64;La Estrella;1;1
65;La Pintada;1;1
66;La Union;1;1
67;Liborina;1;1
68;Maceo;1;1
69;Marinilla;1;1
70;Montebello;1;1
71;Murindo;1;1
72;Mutata;1;1
73;Nariño;1;1
74;Necocli;1;1
75;Nechi;1;1
76;Olaya;1;1
77;Peñol;1;1
78;Peque;1;1
79;Pueblorrico;1;1
80;Puerto Berrio;1;1
81;Puerto Nare ;1;1
82;Puerto Triunfo;1;1
83;Remedios;1;1
84;Retiro;1;1
85;Rionegro;1;1
86;Sabanalarga;1;1
87;Sabaneta;1;1
88;Salgar;1;1
89;San Andres;1;1
90;San Carlos;1;1
91;San Francisco;1;1
92;San Jeronimo;1;1
93;San Jose De La Montaña;1;1
94;San Juan De Uraba;1;1
95;San Luis;1;1
96;San Pedro;1;1
97;San Pedro De Uraba;1;1
98;San Rafael;1;1
99;San Roque;1;1
100;San Vicente;1;1
101;Santa Barbara;1;1
102;Santa Rosa De Osos;1;1
103;Santo Domingo;1;1
104;Santuario;1;1
105;Segovia;1;1
106;Sonson;1;1
107;Sopetran;1;1
108;Tamesis;1;1
109;Taraza;1;1
110;Tarso;1;1
111;Titiribi;1;1
112;Toledo;1;1
113;Turbo;1;1
114;Uramita;1;1
115;Urrao;1;1
116;Valdivia;1;1
117;Valparaiso;1;1
118;Vegachi;1;1
119;Venecia;1;1
120;Vigia Del Fuerte;1;1
121;Yali;1;1
122;Yarumal;1;1
123;Yolombo;1;1
124;Yondo;1;1
125;Zaragoza;1;1
126;Barranquilla ;2;1
127;Baranoa;2;1
128;Campo De La Cruz;2;1
129;Candelaria;2;1
130;Galapa;2;1
131;Juan De Acosta;2;1
132;Luruaco;2;1
133;Malambo;2;1
134;Manati;2;1
135;Palmar De Varela;2;1
136;Piojo;2;1
137;Polo Nuevo;2;1
138;Ponedera;2;1
139;Puerto Colombia;2;1
140;Repelon;2;1
141;Sabanagrande;2;1
142;Sabanalarga;2;1
143;Santa Lucia;2;1
144;Santo Tomas;2;1
145;Soledad;2;1
146;Suan;2;1
147;Tubara;2;1
148;Usiacuri;2;1
149;Bogota D.C;3;1
150;Cartagena ;4;1
151;Achi;4;1
152;Altos Del Rosario;4;1
153;Arenal;4;1
154;Arjona;4;1
