Id;Nombre;Id_pais;Status
1;Antioquia;1;1
2;Atlantico;1;1
3;Bogota D.C;1;1
4;Bolivar;1;1
5;Boyaca;1;1
6;Caldas;1;1
7;Caqueta;1;1
8;Cauca;1;1
9;Cesar;1;1
10;Cordoba;1;1
11;Cundinamarca;1;1
12;Choco;1;1
13;Huila;1;1
14;La Guajira;1;1
15;Magdalena;1;1
16;Meta;1;1
17;Nariño;1;1
18;Norte de Santander;1;1
19;Quindio;1;1
20;Risaralda;1;1
21;Santander;1;1
22;Sucre;1;1
23;Tolima;1;1
24;Valle;1;1
25;Arauca;1;1
26;Casanare;1;1
27;Putumayo;1;1
28;San Andres;1;1
29;Amazonas;1;1
30;Guainia;1;1
31;Guaviare;1;1
32;Vaupes;1;1
33;Vichada;1;1
