Id;Nombre;State
1;Bienes;1
2;Competencia desleal;1
3;Consumo;1
4;Contratos;1
5;Economia solidaria;1
6;Establecimiento de comercio;1
7;Garantias;1
8;Propiedad horizontal;1
9;Responsabilidad extracontractual;1
10;Seguros;1
11;Sociedades, personas juridicas de derecho privado y otras formas asociativas;1
12;Titulos valores;1
13;Turismo;1
14;Otros;1
15;Convivencia;1
16;Matrimonio;1
17;Obligaciones frente a los hijos e incapaces;1
18;Sucesiones;1
19;Union marital del hecho;1
20;Delitos contra el orden economico social;1
21;Delitos contra el patrimonio economico;1
22;Delitos contra la administracion publica;1
23;Delitos contra la eficaz y recta imparticion de justicia;1
24;Delitos contra la existencia y seguridad del estado;1
25;Delitos contra la familia;1
26;Delitos contra la fe publica;1
27;Delitos contra la integridad moral;1
28;Delitos contra la libertad individual y otras garantias;1
29;Delitos contra la libertad , integridad y formacion sexuales;1
30;Delitos contra la seguridad publica;1
31;Delito contra la vida y la integridad personal;1
